,AAPL,AGG,AMZN,CAT,GLD,JPM,KO,LLY,LMT,MSFT,NEE,PG,QQQ,SPY,TLT,UNH,V,VNQ,VXUS,VZ,XOM
AAPL,1.0,0.11050132954614668,0.5951063849161724,0.40035976048381916,0.06518663975126393,0.43087238295678915,0.3541172177229011,0.285458081444704,0.2806075022647006,0.7003102253659504,0.33164198438727477,0.3616642157175996,0.8174206202533946,0.7748462955722933,-0.09053187789545547,0.32836655521455965,0.583773867465561,0.50434196173723,0.6213773057459366,0.22634803071532716,0.30919991010450204
AGG,0.11050132954614668,1.0,0.11377726619843909,-0.024417846807812667,0.3268981494949929,-0.03403229972419414,0.12295973025211802,0.043948937774130704,0.0050827734482893645,0.1073435513607912,0.2561540753417457,0.11864825794782377,0.1328570675877114,0.13516872954253736,0.8354938178929355,0.03327564809407911,0.08713578841486896,0.2796196385540486,0.1858899799421129,0.08400818023157164,-0.03008653019814626
AMZN,0.5951063849161724,0.11377726619843909,1.0,0.33552595032594473,0.05879047564246116,0.3246632902056836,0.1692154781792122,0.22321955751398312,0.16122872746544156,0.6820783369816056,0.22379283780615836,0.18971803921709215,0.7820948706135031,0.6738421332746084,-0.03578457414775229,0.2187615764711407,0.45869655416292965,0.36383452544785866,0.5211935925144263,0.11530404740352224,0.17940197513408543
CAT,0.40035976048381916,-0.024417846807812667,0.33552595032594473,1.0,0.037600585576870474,0.6138453265962134,0.3235783558098972,0.22321390678357858,0.3491719285810789,0.40340976998956246,0.2294631861756512,0.22412320199892133,0.5227708774276164,0.6502706488836139,-0.22748796001725927,0.277476847324754,0.4849753038791056,0.4657451930250291,0.6282149390801194,0.25824704439914536,0.5514816749046443
GLD,0.06518663975126393,0.3268981494949929,0.05879047564246116,0.037600585576870474,1.0,-0.03410563507089236,0.08108529149084526,0.04281317566063503,0.0889281951667059,0.0619755904661917,0.1787211882689943,0.07371480724405353,0.10318938370012422,0.09551263739193193,0.2510985466480788,0.03436752226512523,0.032474454301203805,0.1476372439527658,0.23364998496824674,0.07276375571688548,0.061372742406620814
JPM,0.43087238295678915,-0.03403229972419414,0.3246632902056836,0.6138453265962134,-0.03410563507089236,1.0,0.4467712364407004,0.24264870702523045,0.37142770994074853,0.4439613291596031,0.29093315705075273,0.3172102676727418,0.5388790725811339,0.7136324902864674,-0.29241346202632446,0.365275860300663,0.5970374087156541,0.5745837362209507,0.6669801050207228,0.31475832979383134,0.5469029800437432
KO,0.3541172177229011,0.12295973025211802,0.1692154781792122,0.3235783558098972,0.08108529149084526,0.4467712364407004,1.0,0.2952758683409738,0.46606370889195675,0.3570345000611285,0.5064066167131257,0.627744730967446,0.37465068642144134,0.5355117045947453,-0.09144932106033786,0.3589945075119432,0.4930574101936174,0.6067767552461065,0.4893953048928182,0.4665604903786995,0.3765489259443235
LLY,0.285458081444704,0.043948937774130704,0.22321955751398312,0.22321390678357858,0.04281317566063503,0.24264870702523045,0.2952758683409738,1.0,0.2614185675600825,0.32050533594780567,0.2584905216028991,0.338808686373954,0.3567461577743724,0.414688336534516,-0.06618954650882482,0.27632529009900586,0.30834392253628423,0.321873456125229,0.32043354273995656,0.23434571006907085,0.1990954080902856
LMT,0.2806075022647006,0.0050827734482893645,0.16122872746544156,0.3491719285810789,0.0889281951667059,0.37142770994074853,0.46606370889195675,0.2614185675600825,1.0,0.29023680764413706,0.3288241055834927,0.37042974229062975,0.3133355809802649,0.44308831413042404,-0.15928847178776953,0.347632615747541,0.39213824010038784,0.4173908347532342,0.37850646964789325,0.2948862704074823,0.38299561748935873
MSFT,0.7003102253659504,0.1073435513607912,0.6820783369816056,0.40340976998956246,0.0619755904661917,0.4439613291596031,0.3570345000611285,0.32050533594780567,0.29023680764413706,1.0,0.34153565955165555,0.36947071962188677,0.8672784993334368,0.8097537570929346,-0.10724829596386568,0.3630423449200211,0.6214231139822459,0.5083772238884088,0.644753492024076,0.2168630973889394,0.2658465015009932
NEE,0.33164198438727477,0.2561540753417457,0.22379283780615836,0.2294631861756512,0.1787211882689943,0.29093315705075273,0.5064066167131257,0.2584905216028991,0.3288241055834927,0.34153565955165555,1.0,0.4890919798583001,0.38400683012732734,0.4764764572248782,0.08527468212322903,0.2839161009643038,0.3576028037367173,0.5897959382405384,0.4264883477963841,0.4003967458556963,0.2530430679802853
PG,0.3616642157175996,0.11864825794782377,0.18971803921709215,0.22412320199892133,0.07371480724405353,0.3172102676727418,0.627744730967446,0.338808686373954,0.37042974229062975,0.36947071962188677,0.4890919798583001,1.0,0.3668266991226464,0.47849186784637343,-0.035510396612637114,0.34293196224837513,0.41696847772283224,0.4974488766928735,0.3953136003682921,0.4637632337103698,0.2252175244226123
QQQ,0.8174206202533946,0.1328570675877114,0.7820948706135031,0.5227708774276164,0.10318938370012422,0.5388790725811339,0.37465068642144134,0.3567461577743724,0.3133355809802649,0.8672784993334368,0.38400683012732734,0.3668266991226464,1.0,0.9375376845207037,-0.10201074330579515,0.37524645008953733,0.685240879692813,0.5997855984293651,0.781179976097518,0.2347686458800021,0.3483440192988284
SPY,0.7748462955722933,0.13516872954253736,0.6738421332746084,0.6502706488836139,0.09551263739193193,0.7136324902864674,0.5355117045947453,0.414688336534516,0.44308831413042404,0.8097537570929346,0.4764764572248782,0.47849186784637343,0.9375376845207037,1.0,-0.15130445966027617,0.47678061550336764,0.7665370062509471,0.7455918183490653,0.8609505704400928,0.36328127168688246,0.524207325107428
TLT,-0.09053187789545547,0.8354938178929355,-0.03578457414775229,-0.22748796001725927,0.2510985466480788,-0.29241346202632446,-0.09144932106033786,-0.06618954650882482,-0.15928847178776953,-0.10724829596386568,0.08527468212322903,-0.035510396612637114,-0.10201074330579515,-0.15130445966027617,1.0,-0.12613071637828308,-0.13110084120332408,0.017529536623776147,-0.11804304050827324,-0.03097922286725977,-0.23544891358734532
UNH,0.32836655521455965,0.03327564809407911,0.2187615764711407,0.277476847324754,0.03436752226512523,0.365275860300663,0.3589945075119432,0.27632529009900586,0.347632615747541,0.3630423449200211,0.2839161009643038,0.34293196224837513,0.37524645008953733,0.47678061550336764,-0.12613071637828308,1.0,0.42077738525425096,0.40523505021355916,0.4075167598929165,0.28737052660983103,0.2879880263353482
V,0.583773867465561,0.08713578841486896,0.45869655416292965,0.4849753038791056,0.032474454301203805,0.5970374087156541,0.4930574101936174,0.30834392253628423,0.39213824010038784,0.6214231139822459,0.3576028037367173,0.41696847772283224,0.685240879692813,0.7665370062509471,-0.13110084120332408,0.42077738525425096,1.0,0.6070267845533704,0.6777409810145727,0.30571448467573914,0.43851200863771433
VNQ,0.50434196173723,0.2796196385540486,0.36383452544785866,0.4657451930250291,0.1476372439527658,0.5745837362209507,0.6067767552461065,0.321873456125229,0.4173908347532342,0.5083772238884088,0.5897959382405384,0.4974488766928735,0.5997855984293651,0.7455918183490653,0.017529536623776147,0.40523505021355916,0.6070267845533704,1.0,0.6938436362665455,0.42760777939983785,0.4360975825369487
VXUS,0.6213773057459366,0.1858899799421129,0.5211935925144263,0.6282149390801194,0.23364998496824674,0.6669801050207228,0.4893953048928182,0.32043354273995656,0.37850646964789325,0.644753492024076,0.4264883477963841,0.3953136003682921,0.781179976097518,0.8609505704400928,-0.11804304050827324,0.4075167598929165,0.6777409810145727,0.6938436362665455,1.0,0.3163111764467612,0.5339158118613845
VZ,0.22634803071532716,0.08400818023157164,0.11530404740352224,0.25824704439914536,0.07276375571688548,0.31475832979383134,0.4665604903786995,0.23434571006907085,0.2948862704074823,0.2168630973889394,0.4003967458556963,0.4637632337103698,0.2347686458800021,0.36328127168688246,-0.03097922286725977,0.28737052660983103,0.30571448467573914,0.42760777939983785,0.3163111764467612,1.0,0.28626978434147893
XOM,0.30919991010450204,-0.03008653019814626,0.17940197513408543,0.5514816749046443,0.061372742406620814,0.5469029800437432,0.3765489259443235,0.1990954080902856,0.38299561748935873,0.2658465015009932,0.2530430679802853,0.2252175244226123,0.3483440192988284,0.524207325107428,-0.23544891358734532,0.2879880263353482,0.43851200863771433,0.4360975825369487,0.5339158118613845,0.28626978434147893,1.0
